id;depart;type;speedFactor;duration;waitingTime;timeLoss;traveltime;walk_depart;departPos;arrival;arrivalPos;walk_duration;routeLength;walk_timeLoss;maxSpeed;walk_waitingTime
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__0.1;20.00;DEFAULT_PEDTYPE;1.12;266.00;0.00;26.57;266.00;20.00;177.70;286.00;0.10;266.00;373.31;26.57;1.56;0.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__0.0;18.00;DEFAULT_PEDTYPE;1.12;272.00;0.00;32.65;272.00;18.00;0.10;290.00;112.00;272.00;372.92;32.65;1.56;0.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__0.2;21.00;DEFAULT_PEDTYPE;1.12;270.00;0.00;30.05;270.00;21.00;0.10;291.00;112.00;270.00;372.92;30.05;1.55;0.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__0.1;18.00;DEFAULT_PEDTYPE;1.10;275.00;0.00;29.93;275.00;18.00;0.10;293.00;112.00;275.00;372.92;29.93;1.52;0.00
pf_PedEnd.Minor.540.S_end.W_sidewalk__Node.Main.740.S__0.0;6.00;DEFAULT_PEDTYPE;1.06;299.00;0.00;32.16;299.00;6.00;0.10;305.00;0.10;299.00;391.66;32.16;1.47;0.00
pf_PedEnd.Minor.540.N_end.E_sidewalk__Node.Main.740.N__0.0;27.00;DEFAULT_PEDTYPE;1.06;281.00;0.00;28.63;281.00;27.00;0.10;308.00;112.00;281.00;372.92;28.63;1.48;0.00
pf_PedEnd.Minor.200.S_end.E_sidewalk__Node.Main.0.S__0.0;6.00;DEFAULT_PEDTYPE;1.04;303.00;0.00;31.64;303.00;6.00;177.70;309.00;112.00;303.00;391.66;31.64;1.44;0.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__0.2;31.00;DEFAULT_PEDTYPE;1.08;279.00;0.00;30.18;279.00;31.00;177.70;310.00;0.10;279.00;373.31;30.18;1.50;0.00
pf_PedEnd.Main.W_end.S_sidewalk__PedEnd.Minor.200.S_end.W_sidewalk__0.0;36.00;DEFAULT_PEDTYPE;1.13;283.00;0.00;46.10;283.00;36.00;112.00;319.00;0.10;283.00;372.92;46.10;1.57;0.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__0.3;29.00;DEFAULT_PEDTYPE;1.00;300.00;0.00;32.81;300.00;29.00;0.10;329.00;112.00;300.00;372.92;32.81;1.40;0.00
pf_PedEnd.Minor.540.S_end.W_sidewalk__Node.Main.740.S__0.1;11.00;DEFAULT_PEDTYPE;0.98;321.00;0.00;34.42;321.00;11.00;0.10;332.00;0.10;321.00;391.66;34.42;1.37;0.00
pf_PedEnd.Minor.540.N_end.E_sidewalk__Node.Main.740.N__0.3;46.00;DEFAULT_PEDTYPE;1.04;290.00;0.00;32.30;290.00;46.00;0.10;336.00;112.00;290.00;372.92;32.30;1.45;0.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__0.3;32.00;DEFAULT_PEDTYPE;1.00;304.00;0.00;35.52;304.00;32.00;177.70;336.00;0.10;304.00;373.31;35.52;1.39;0.00
pf_PedEnd.Main.W_end.N_sidewalk__PedEnd.Minor.200.S_end.W_sidewalk__0.0;36.00;DEFAULT_PEDTYPE;1.26;308.00;53.00;79.26;308.00;36.00;0.10;344.00;0.10;308.00;401.06;79.26;1.75;53.00
pf_PedEnd.Minor.540.N_end.E_sidewalk__Node.Main.740.N__0.2;46.00;DEFAULT_PEDTYPE;1.07;309.00;1.00;58.30;309.00;46.00;0.10;355.00;112.00;309.00;372.92;58.30;1.49;1.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__0.0;11.00;DEFAULT_PEDTYPE;0.85;353.00;0.00;35.74;353.00;11.00;177.70;364.00;0.10;353.00;373.31;35.74;1.18;0.00
pf_PedEnd.Minor.540.N_end.E_sidewalk__Node.Main.740.N__0.1;45.00;DEFAULT_PEDTYPE;0.94;322.00;0.00;35.66;322.00;45.00;0.10;367.00;112.00;322.00;372.92;35.66;1.30;0.00
pf_PedEnd.Minor.200.N_end.E_sidewalk__PedEnd.Minor.340.N_end.E_sidewalk__0.0;32.00;DEFAULT_PEDTYPE;1.15;351.00;0.00;35.47;351.00;32.00;0.10;383.00;0.10;351.00;505.86;35.47;1.60;0.00
pf_PedEnd.Minor.540.N_end.E_sidewalk__Node.Main.740.N__0.4;122.00;DEFAULT_PEDTYPE;1.15;262.00;0.00;27.75;262.00;122.00;0.10;384.00;112.00;262.00;372.92;27.75;1.59;0.00
pf_PedEnd.Minor.200.N_end.W_sidewalk__Node.Main.0.N__0.0;65.00;DEFAULT_PEDTYPE;0.90;332.00;0.00;32.69;332.00;65.00;177.70;397.00;0.10;332.00;373.31;32.69;1.25;0.00
pf_PedEnd.Minor.200.N_end.W_sidewalk__Node.Main.0.N__0.1;93.00;DEFAULT_PEDTYPE;1.02;305.00;0.00;40.82;305.00;93.00;177.70;398.00;0.10;305.00;373.31;40.82;1.41;0.00
pf_PedEnd.Main.E_end.S_sidewalk__PedEnd.Minor.540.S_end.W_sidewalk__0.1;37.00;DEFAULT_PEDTYPE;1.13;361.00;82.00;110.92;361.00;37.00;0.10;398.00;0.10;361.00;391.66;110.92;1.57;82.00
pf_PedEnd.Main.E_end.N_sidewalk__PedEnd.Minor.540.S_end.E_sidewalk__0.0;27.00;DEFAULT_PEDTYPE;0.89;374.00;12.00;51.22;374.00;27.00;112.00;401.00;177.70;374.00;401.06;51.22;1.24;12.00
pf_PedEnd.Main.E_end.N_sidewalk__PedEnd.Minor.540.S_end.W_sidewalk__0.1;51.00;DEFAULT_PEDTYPE;1.09;351.00;29.00;74.25;351.00;51.00;112.00;402.00;0.10;351.00;419.40;74.25;1.52;29.00
pf_PedEnd.Main.W_end.S_sidewalk__PedEnd.Minor.200.S_end.E_sidewalk__0.0;35.00;DEFAULT_PEDTYPE;1.07;371.00;78.00;107.26;371.00;35.00;112.00;406.00;177.70;371.00;391.66;107.26;1.48;78.00
pf_PedEnd.Minor.540.N_end.W_sidewalk__Node.Main.740.N__0.3;118.00;DEFAULT_PEDTYPE;1.14;290.00;12.00;42.38;290.00;118.00;177.70;408.00;112.00;290.00;391.66;42.38;1.58;12.00
pf_PedEnd.Minor.340.N_end.E_sidewalk__PedEnd.Minor.280.N_end.E_sidewalk__0.0;98.00;DEFAULT_PEDTYPE;1.10;313.00;0.00;31.03;313.00;98.00;0.10;411.00;0.10;313.00;428.86;31.03;1.52;0.00
pf_PedEnd.Main.W_end.N_sidewalk__PedEnd.Minor.200.S_end.E_sidewalk__0.0;20.00;DEFAULT_PEDTYPE;1.02;395.00;57.00;93.38;395.00;20.00;0.10;415.00;177.70;395.00;429.39;93.38;1.42;57.00
pf_PedEnd.Minor.460.N_end.E_sidewalk__PedEnd.Minor.540.S_end.E_sidewalk__0.0;9.00;DEFAULT_PEDTYPE;0.99;407.00;16.00;55.38;407.00;9.00;0.10;416.00;177.70;407.00;485.87;55.38;1.38;16.00
pf_PedEnd.Minor.540.N_end.W_sidewalk__Node.Main.740.N__0.2;99.00;DEFAULT_PEDTYPE;1.10;325.00;28.00;69.39;325.00;99.00;177.70;424.00;112.00;325.00;391.66;69.39;1.53;28.00
pf_PedEnd.Main.E_end.N_sidewalk__PedEnd.Minor.540.S_end.W_sidewalk__0.0;16.00;DEFAULT_PEDTYPE;0.96;409.00;55.00;93.93;409.00;16.00;112.00;425.00;0.10;409.00;419.40;93.93;1.33;55.00
pf_PedEnd.Minor.460.S_end.E_sidewalk__PedEnd.Minor.400.S_end.W_sidewalk__0.0;98.00;DEFAULT_PEDTYPE;1.06;329.00;0.00;32.34;329.00;98.00;180.90;427.00;0.10;329.00;437.90;32.34;1.48;0.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__0.4;95.00;DEFAULT_PEDTYPE;0.89;334.00;0.00;32.37;334.00;95.00;177.70;429.00;0.10;334.00;373.31;32.37;1.24;0.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__0.5;126.00;DEFAULT_PEDTYPE;1.02;304.00;0.00;40.90;304.00;126.00;177.70;430.00;0.10;304.00;373.31;40.90;1.42;0.00
pf_PedEnd.Main.E_end.S_sidewalk__PedEnd.Minor.540.S_end.W_sidewalk__0.0;21.00;DEFAULT_PEDTYPE;0.92;409.00;68.00;103.91;409.00;21.00;0.10;430.00;0.10;409.00;391.66;103.91;1.28;68.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__0.5;143.00;DEFAULT_PEDTYPE;1.05;288.00;0.00;31.92;288.00;143.00;0.10;431.00;112.00;288.00;372.92;31.92;1.46;0.00
pf_PedEnd.Main.E_end.N_sidewalk__PedEnd.Minor.540.N_end.W_sidewalk__0.0;75.00;DEFAULT_PEDTYPE;0.92;356.00;12.00;48.68;356.00;75.00;112.00;431.00;177.70;356.00;391.66;48.68;1.27;12.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__0.6;172.00;DEFAULT_PEDTYPE;1.23;260.00;0.00;41.05;260.00;172.00;0.10;432.00;112.00;260.00;372.92;41.05;1.70;0.00
pf_PedEnd.Minor.200.N_end.E_sidewalk__Node.Main.0.N__0.1;106.00;DEFAULT_PEDTYPE;0.97;327.00;2.00;36.28;327.00;106.00;0.10;433.00;0.10;327.00;391.66;36.28;1.35;2.00
pf_PedEnd.Minor.200.N_end.W_sidewalk__Node.Main.0.N__0.3;143.00;DEFAULT_PEDTYPE;1.07;292.00;1.00;39.74;292.00;143.00;177.70;435.00;0.10;292.00;373.31;39.74;1.48;1.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__0.6;155.00;DEFAULT_PEDTYPE;1.10;282.00;0.00;36.85;282.00;155.00;177.70;437.00;0.10;282.00;373.31;36.85;1.52;0.00
pf_PedEnd.Minor.280.N_end.W_sidewalk__PedEnd.Minor.200.N_end.E_sidewalk__0.0;70.00;DEFAULT_PEDTYPE;0.95;367.00;0.00;38.01;367.00;70.00;180.90;437.00;0.10;367.00;432.98;38.01;1.32;0.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__0.4;140.00;DEFAULT_PEDTYPE;1.00;298.00;0.00;28.85;298.00;140.00;0.10;438.00;112.00;298.00;372.92;28.85;1.39;0.00
pf_PedEnd.Minor.540.N_end.W_sidewalk__Node.Main.740.N__0.0;13.00;DEFAULT_PEDTYPE;0.94;427.00;91.00;127.33;427.00;13.00;177.70;440.00;112.00;427.00;391.66;127.33;1.31;91.00
pf_PedEnd.Minor.200.N_end.E_sidewalk__Node.Main.0.N__0.0;36.00;DEFAULT_PEDTYPE;0.93;404.00;65.00;99.21;404.00;36.00;0.10;440.00;0.10;404.00;391.66;99.21;1.28;65.00
pf_PedEnd.Main.E_end.N_sidewalk__PedEnd.Minor.540.N_end.E_sidewalk__0.1;125.00;DEFAULT_PEDTYPE;0.94;317.00;0.00;32.33;317.00;125.00;112.00;442.00;0.10;317.00;372.92;32.33;1.31;0.00
pf_PedEnd.Main.W_end.S_sidewalk__PedEnd.Minor.200.S_end.W_sidewalk__0.1;158.00;DEFAULT_PEDTYPE;1.05;284.00;0.00;29.06;284.00;158.00;112.00;442.00;0.10;284.00;372.92;29.06;1.46;0.00
pf_PedEnd.Minor.540.N_end.W_sidewalk__Node.Main.740.N__0.1;78.00;DEFAULT_PEDTYPE;0.94;365.00;13.00;65.68;365.00;78.00;177.70;443.00;112.00;365.00;391.66;65.68;1.31;13.00
pf_PedEnd.Minor.200.N_end.W_sidewalk__Node.Main.0.N__0.2;131.00;DEFAULT_PEDTYPE;0.95;312.00;0.00;30.41;312.00;131.00;177.70;443.00;0.10;312.00;373.31;30.41;1.33;0.00
pf_PedEnd.Minor.540.S_end.W_sidewalk__Node.Main.740.S__0.4;144.00;DEFAULT_PEDTYPE;1.07;299.00;2.00;34.66;299.00;144.00;0.10;443.00;0.10;299.00;391.66;34.66;1.48;2.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__0.9;217.00;DEFAULT_PEDTYPE;1.32;227.00;0.00;23.47;227.00;217.00;0.10;444.00;112.00;227.00;372.92;23.47;1.83;0.00
pf_PedEnd.Minor.540.S_end.W_sidewalk__Node.Main.740.S__0.2;13.00;DEFAULT_PEDTYPE;0.91;432.00;89.00;123.64;432.00;13.00;0.10;445.00;0.10;432.00;391.66;123.64;1.27;89.00
pf_PedEnd.Minor.400.N_end.E_sidewalk__PedEnd.Minor.340.N_end.E_sidewalk__0.0;132.00;DEFAULT_PEDTYPE;1.09;317.00;0.00;32.62;317.00;132.00;0.10;449.00;0.10;317.00;428.86;32.62;1.51;0.00
pf_PedEnd.Main.E_end.N_sidewalk__PedEnd.Minor.540.N_end.E_sidewalk__0.0;125.00;DEFAULT_PEDTYPE;0.93;324.00;0.00;34.29;324.00;125.00;112.00;449.00;0.10;324.00;372.92;34.29;1.29;0.00
pf_PedEnd.Minor.540.N_end.E_sidewalk__PedEnd.Minor.460.S_end.E_sidewalk__0.0;2.00;DEFAULT_PEDTYPE;0.89;448.00;19.00;61.30;448.00;2.00;0.10;450.00;180.90;448.00;479.46;61.30;1.24;19.00
pf_PedEnd.Main.W_end.N_sidewalk__PedEnd.Minor.280.N_end.E_sidewalk__0.0;82.00;DEFAULT_PEDTYPE;1.23;368.00;52.00;90.58;368.00;82.00;0.10;450.00;0.10;368.00;475.16;90.58;1.71;52.00
pf_PedEnd.Minor.400.S_end.E_sidewalk__Node.Main.740.S__0.0;23.00;DEFAULT_PEDTYPE;0.99;430.00;1.00;45.22;430.00;23.00;180.90;453.00;0.10;430.00;530.36;45.22;1.38;1.00
pf_PedEnd.Minor.400.S_end.E_sidewalk__Node.Main.740.S__0.1;27.00;DEFAULT_PEDTYPE;1.01;427.00;1.00;49.18;427.00;27.00;180.90;454.00;0.10;427.00;530.36;49.18;1.40;1.00
pf_PedEnd.Minor.200.N_end.W_sidewalk__Node.Main.0.N__0.6;170.00;DEFAULT_PEDTYPE;1.04;286.00;0.00;28.70;286.00;170.00;177.70;456.00;0.10;286.00;373.31;28.70;1.45;0.00
pf_PedEnd.Main.W_end.S_sidewalk__PedEnd.Minor.200.S_end.W_sidewalk__0.2;199.00;DEFAULT_PEDTYPE;1.15;258.00;0.00;25.17;258.00;199.00;112.00;457.00;0.10;258.00;372.92;25.17;1.60;0.00
pf_PedEnd.Main.E_end.S_sidewalk__PedEnd.Minor.540.S_end.W_sidewalk__0.2;124.00;DEFAULT_PEDTYPE;0.95;333.00;2.00;36.07;333.00;124.00;0.10;457.00;0.10;333.00;391.66;36.07;1.32;2.00
pf_PedEnd.Minor.200.N_end.W_sidewalk__PedEnd.Minor.280.N_end.W_sidewalk__0.0;49.00;DEFAULT_PEDTYPE;1.09;410.00;65.00;112.41;410.00;49.00;177.70;459.00;180.90;410.00;451.72;112.41;1.52;65.00
pf_PedEnd.Minor.540.N_end.E_sidewalk__Node.Main.740.N__0.5;134.00;DEFAULT_PEDTYPE;0.92;326.00;0.00;34.31;326.00;134.00;0.10;460.00;112.00;326.00;372.92;34.31;1.28;0.00
pf_PedEnd.Minor.200.N_end.E_sidewalk__PedEnd.Minor.280.N_end.E_sidewalk__0.0;117.00;DEFAULT_PEDTYPE;1.02;347.00;0.00;36.35;347.00;117.00;0.10;464.00;0.10;347.00;441.82;36.35;1.42;0.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__0.8;196.00;DEFAULT_PEDTYPE;1.14;269.00;1.00;33.47;269.00;196.00;0.10;465.00;112.00;269.00;372.92;33.47;1.58;1.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__0.7;173.00;DEFAULT_PEDTYPE;1.01;297.00;0.00;29.99;297.00;173.00;0.10;470.00;112.00;297.00;372.92;29.99;1.40;0.00
pf_PedEnd.Main.E_end.S_sidewalk__PedEnd.Minor.400.N_end.W_sidewalk__0.0;12.00;DEFAULT_PEDTYPE;1.04;462.00;22.00;68.66;462.00;12.00;0.10;474.00;180.90;462.00;569.79;68.66;1.45;22.00
pf_PedEnd.Minor.540.S_end.W_sidewalk__Node.Main.740.S__0.3;122.00;DEFAULT_PEDTYPE;0.90;352.00;2.00;37.63;352.00;122.00;0.10;474.00;0.10;352.00;391.66;37.63;1.25;2.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__0.7;167.00;DEFAULT_PEDTYPE;0.96;310.00;0.00;30.95;310.00;167.00;177.70;477.00;0.10;310.00;373.31;30.95;1.34;0.00
pf_PedEnd.Minor.460.S_end.E_sidewalk__PedEnd.Minor.540.S_end.W_sidewalk__0.0;119.00;DEFAULT_PEDTYPE;0.96;361.00;0.00;37.17;361.00;119.00;180.90;480.00;0.10;361.00;432.98;37.17;1.34;0.00
